Navn;Kodeverdi;Eier; Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gylig til; ID
0625;0625;Kartverket;Gyldig;29.11.2017;1;Nedre Eiker;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0625
0626;0626;Kartverket;Gyldig;29.11.2017;1;Lier;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0626
0627;0627;Kartverket;Gyldig;29.11.2017;1;Røyken;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0627
0628;0628;Kartverket;Gyldig;29.11.2017;1;Hurum;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0628
0631;0631;Kartverket;Gyldig;29.11.2017;1;Flesberg;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0631
0632;0632;Kartverket;Gyldig;29.11.2017;1;Rollag;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0632
0633;0633;Kartverket;Gyldig;29.11.2017;1;Nore og Uvdal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0633
0701;0701;Kartverket;Gyldig;29.11.2017;1;Horten;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0701
0702;0702;Kartverket;Utgått;29.11.2017;1;Holmestrand;;01.01.2018 00:00:00;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0702
0703;0703;Kartverket;Utgått;29.11.2017;1;Horten;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0703
0704;0704;Kartverket;Gyldig;29.11.2017;1;Tønsberg;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0704
0705;0705;Kartverket;Utgått;29.11.2017;1;Tønsberg;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0705
0706;0706;Kartverket;Utgått;29.11.2017;1;Sandefjord;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0706
0707;0707;Kartverket;Utgått;29.11.2017;1;Larvik;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0707
0708;0708;Kartverket;Utgått;29.11.2017;1;Stavern;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0708
0709;0709;Kartverket;Utgått;29.11.2017;1;Larvik;;01.01.2018 00:00:00;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0709
0710;0710;Kartverket;Gyldig;29.11.2017;1;Sandefjord;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0710
0711;0711;Kartverket;Gyldig;29.11.2017;1;Svelvik;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0711
0712;0712;Kartverket;Gyldig;29.11.2017;1;Larvik;01.01.2018 00:00:00;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0712
0713;0713;Kartverket;Gyldig;29.11.2017;1;Sande i Vestfold;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0713
0714;0714;Kartverket;Utgått;29.11.2017;1;Hof;;01.01.2018 00:00:00;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0714
0715;0715;Kartverket;Gyldig;29.11.2017;1;Holmestrand;01.01.2018 00:00:00;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0715
0716;0716;Kartverket;Gyldig;29.11.2017;1;Re;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0716
